,signature,target
13674,REP.A012_HA1E_24H:M04,BRD-K02943813
13675,LJP006_MDAMB231_3H:I05,BRD-K49328571
13676,LJP006_MDAMB231_3H:I04,BRD-K49328571
13677,LJP006_MDAMB231_3H:I03,BRD-K49328571
13678,REP.A019_HELA_24H:L15,BRD-K49328571
13679,LJP006_HT29_24H:I03,BRD-K49328571
13680,REP.A019_HELA_24H:L14,BRD-K49328571
13681,LJP006_LNCAP_24H:I06,BRD-K49328571
13682,LJP006_MDAMB231_3H:I02,BRD-K49328571
13683,REP.A019_HELA_24H:L13,BRD-K49328571
13684,LJP006_MDAMB231_3H:I06,BRD-K49328571
13685,REP.A019_HELA_24H:L17,BRD-K49328571
13686,REP.A019_HELA_24H:L16,BRD-K49328571
13687,LJP007_ASC.C_24H:G18,BRD-K49328571
13688,LJP006_LNCAP_24H:I05,BRD-K49328571
13689,LJP007_ASC.C_24H:G16,BRD-K49328571
13690,LJP005_PC3_24H:D04,BRD-K49328571
13691,LJP006_HME1_24H:I01,BRD-K49328571
13692,LJP007_CD34_24H:G14,BRD-K49328571
13693,LJP007_CD34_24H:G13,BRD-K49328571
13694,LJP008_HA1E_24H:G13,BRD-K49328571
13695,LJP007_ASC_24H:G15,BRD-K49328571
13696,LJP007_ASC_24H:G16,BRD-K49328571
13697,LJP007_ASC_24H:G17,BRD-K49328571
13698,LJP007_ASC_24H:G18,BRD-K49328571
13699,LJP007_SKL_24H:G13,BRD-K49328571
13700,LJP005_PC3_24H:D06,BRD-K49328571
13701,LJP005_PC3_24H:D05,BRD-K49328571
13702,LJP007_ASC.C_24H:G14,BRD-K49328571
13703,LJP007_ASC.C_24H:G15,BRD-K49328571
13704,LJP008_HA1E_24H:G18,BRD-K49328571
13705,LJP007_ASC.C_24H:G17,BRD-K49328571
13706,LJP005_MDAMB231_3H:D06,BRD-K49328571
13707,LJP006_LNCAP_24H:I03,BRD-K49328571
13708,LJP006_LNCAP_24H:I04,BRD-K49328571
13709,LJP008_HA1E_24H:G17,BRD-K49328571
13710,LJP007_NPC.TAK_24H:G17,BRD-K49328571
13711,LJP006_HS578T_24H:I01,BRD-K49328571
13712,LJP007_MCF7_24H:G13,BRD-K49328571
13713,LJP008_ASC_24H:G13,BRD-K49328571
13714,LJP008_ASC_24H:G15,BRD-K49328571
13715,LJP005_PC3_24H:D03,BRD-K49328571
13716,LJP005_MDAMB231_3H:D04,BRD-K49328571
13717,LJP006_HME1_24H:I04,BRD-K49328571
13718,LJP006_HME1_24H:I06,BRD-K49328571
13719,LJP005_PC3_24H:D02,BRD-K49328571
13720,LJP009_HA1E_24H:G18,BRD-K49328571
13721,LJP005_MDAMB231_3H:D03,BRD-K49328571
13722,LJP005_MDAMB231_3H:D02,BRD-K49328571
13723,LJP005_PC3_24H:D01,BRD-K49328571
13724,LJP009_HA1E_24H:G14,BRD-K49328571
13725,LJP005_MDAMB231_3H:D01,BRD-K49328571
13726,LJP008_ASC_24H:G14,BRD-K49328571
13727,LJP006_HME1_24H:I03,BRD-K49328571
13728,LJP009_HA1E_24H:G17,BRD-K49328571
13729,LJP009_HA1E_24H:G16,BRD-K49328571
13730,LJP008_ASC_24H:G16,BRD-K49328571
13731,LJP006_BT20_3H:I06,BRD-K49328571
13732,LJP008_HA1E_24H:G16,BRD-K49328571
13733,LJP006_MDAMB231_3H:I01,BRD-K49328571
13734,LJP006_BT20_3H:I05,BRD-K49328571
13735,LJP006_BT20_3H:I04,BRD-K49328571
13736,LJP008_HA1E_24H:G15,BRD-K49328571
13737,LJP006_BT20_3H:I01,BRD-K49328571
13738,REP.A019_HELA_24H:L18,BRD-K49328571
13739,LJP006_HT29_24H:I02,BRD-K49328571
13740,LJP006_BT20_3H:I03,BRD-K49328571
13741,LJP008_ASC_24H:G18,BRD-K49328571
13742,LJP005_MDAMB231_3H:D05,BRD-K49328571
13743,LJP008_ASC_24H:G17,BRD-K49328571
13744,LJP006_BT20_3H:I02,BRD-K49328571
13745,LJP007_NPC.TAK_24H:G18,BRD-K49328571
13746,LJP009_HA1E_24H:G15,BRD-K49328571
13747,REP.A019_HA1E_24H:L15,BRD-K49328571
13748,LJP007_ASC.C_24H:G13,BRD-K49328571
13749,LJP008_CD34_24H:G15,BRD-K49328571
13750,REP.A019_HT29_24H:L14,BRD-K49328571
13751,REP.A019_MCF7_24H:L14,BRD-K49328571
13752,REP.A019_MCF7_24H:L15,BRD-K49328571
13753,REP.A019_MCF7_24H:L16,BRD-K49328571
13754,REP.A019_MCF7_24H:L17,BRD-K49328571
13755,REP.A019_MCF7_24H:L18,BRD-K49328571
13756,LJP006_HS578T_24H:I04,BRD-K49328571
13757,REP.A019_MCF7_24H:L13,BRD-K49328571
13758,LJP005_HS578T_24H:D01,BRD-K49328571
13759,LJP005_HS578T_24H:D03,BRD-K49328571
13760,LJP006_HS578T_24H:I05,BRD-K49328571
13761,LJP009_PC3_24H:G16,BRD-K49328571
13762,LJP009_NPC.TAK_24H:G18,BRD-K49328571
13763,LJP009_NPC.TAK_24H:G17,BRD-K49328571
13764,LJP009_NPC.TAK_24H:G16,BRD-K49328571
13765,LJP005_HS578T_24H:D02,BRD-K49328571
13766,LJP005_SKBR3_3H:D01,BRD-K49328571
13767,LJP006_HS578T_24H:I03,BRD-K49328571
13768,LJP006_HS578T_24H:I02,BRD-K49328571
13769,LJP007_NPC_24H:G18,BRD-K49328571
13770,LJP009_HA1E_24H:G13,BRD-K49328571
13771,LJP008_ASC.C_24H:G13,BRD-K49328571
13772,LJP006_MDAMB231_24H:I06,BRD-K49328571
13773,REP.A019_YAPC_24H:L13,BRD-K49328571
13774,REP.A019_YAPC_24H:L14,BRD-K49328571
13775,REP.A019_YAPC_24H:L15,BRD-K49328571
13776,REP.A019_YAPC_24H:L16,BRD-K49328571
13777,REP.A019_YAPC_24H:L17,BRD-K49328571
13778,REP.A019_YAPC_24H:L18,BRD-K49328571
13779,LJP009_PC3_24H:G14,BRD-K49328571
13780,LJP007_MCF7_24H:G14,BRD-K49328571
13781,LJP005_HS578T_3H:D01,BRD-K49328571
13782,LJP005_HS578T_24H:D06,BRD-K49328571
13783,LJP009_PC3_24H:G15,BRD-K49328571
13784,LJP009_NPC.TAK_24H:G15,BRD-K49328571
13785,LJP006_HCC515_24H:I01,BRD-K49328571
13786,LJP006_HCC515_24H:I02,BRD-K49328571
13787,LJP006_HCC515_24H:I03,BRD-K49328571
13788,LJP007_HUES3_24H:G13,BRD-K49328571
13789,LJP007_HUES3_24H:G14,BRD-K49328571
13790,LJP007_HUES3_24H:G15,BRD-K49328571
13791,LJP007_HUES3_24H:G16,BRD-K49328571
13792,LJP007_HUES3_24H:G17,BRD-K49328571
13793,LJP007_HCC515_24H:G14,BRD-K49328571
13794,LJP007_HCC515_24H:G15,BRD-K49328571
13795,LJP007_HCC515_24H:G16,BRD-K49328571
13796,LJP009_PC3_24H:G18,BRD-K49328571
13797,LJP007_JURKAT_24H:G18,BRD-K49328571
13798,LJP007_JURKAT_24H:G17,BRD-K49328571
13799,LJP007_JURKAT_24H:G16,BRD-K49328571
13800,LJP007_JURKAT_24H:G15,BRD-K49328571
13801,LJP007_JURKAT_24H:G14,BRD-K49328571
13802,LJP007_JURKAT_24H:G13,BRD-K49328571
13803,LJP007_HCC515_24H:G17,BRD-K49328571
13804,LJP007_NPC_24H:G17,BRD-K49328571
13805,LJP005_HS578T_24H:D05,BRD-K49328571
13806,LJP007_HCC515_24H:G18,BRD-K49328571
13807,LJP006_HCC515_24H:I04,BRD-K49328571
13808,LJP006_HCC515_24H:I05,BRD-K49328571
13809,LJP009_PC3_24H:G17,BRD-K49328571
13810,LJP006_A375_24H:I01,BRD-K49328571
13811,LJP006_A375_24H:I02,BRD-K49328571
13812,LJP006_A375_24H:I03,BRD-K49328571
13813,LJP006_HT29_24H:I01,BRD-K49328571
13814,LJP006_HCC515_24H:I06,BRD-K49328571
13815,LJP006_A375_24H:I04,BRD-K49328571
13816,LJP006_A375_24H:I05,BRD-K49328571
13817,LJP006_A375_24H:I06,BRD-K49328571
13818,LJP007_HCC515_24H:G13,BRD-K49328571
13819,LJP006_HS578T_24H:I06,BRD-K49328571
13820,LJP009_NPC.TAK_24H:G14,BRD-K49328571
13821,LJP009_NPC.TAK_24H:G13,BRD-K49328571
13822,LJP005_HS578T_24H:D04,BRD-K49328571
13823,REP.A019_HT29_24H:L13,BRD-K49328571
13824,LJP005_MDAMB231_24H:D02,BRD-K49328571
13825,REP.A019_PC3_24H:L13,BRD-K49328571
13826,REP.A019_HA1E_24H:L17,BRD-K49328571
13827,REP.A019_HA1E_24H:L16,BRD-K49328571
13828,REP.A019_A375_24H:L14,BRD-K49328571
13829,REP.A019_A375_24H:L15,BRD-K49328571
13830,LJP009_PC3_24H:G13,BRD-K49328571
13831,REP.A019_A375_24H:L16,BRD-K49328571
13832,REP.A019_HA1E_24H:L18,BRD-K49328571
13833,LJP007_NPC.TAK_24H:G16,BRD-K49328571
13834,LJP007_NPC.TAK_24H:G14,BRD-K49328571
13835,LJP007_NPC.TAK_24H:G13,BRD-K49328571
13836,REP.A019_A375_24H:L17,BRD-K49328571
13837,REP.A019_A375_24H:L18,BRD-K49328571
13838,LJP006_LNCAP_24H:I02,BRD-K49328571
13839,LJP007_MCF7_24H:G16,BRD-K49328571
13840,LJP007_NPC.TAK_24H:G15,BRD-K49328571
13841,LJP007_MNEU.E_24H:G13,BRD-K49328571
13842,LJP007_MNEU.E_24H:G14,BRD-K49328571
13843,LJP007_MNEU.E_24H:G15,BRD-K49328571
13844,LJP009_CD34_24H:G13,BRD-K49328571
13845,REP.A019_HT29_24H:L15,BRD-K49328571
13846,REP.A019_HT29_24H:L16,BRD-K49328571
13847,REP.A019_HT29_24H:L17,BRD-K49328571
13848,LJP009_CD34_24H:G14,BRD-K49328571
13849,LJP009_CD34_24H:G15,BRD-K49328571
13850,LJP009_CD34_24H:G16,BRD-K49328571
13851,LJP009_CD34_24H:G17,BRD-K49328571
13852,REP.A019_HT29_24H:L18,BRD-K49328571
13853,REP.A019_A375_24H:L13,BRD-K49328571
13854,LJP009_CD34_24H:G18,BRD-K49328571
13855,LJP007_MCF7_24H:G15,BRD-K49328571
13856,LJP007_MNEU.E_24H:G18,BRD-K49328571
13857,LJP007_MNEU.E_24H:G17,BRD-K49328571
13858,LJP007_MNEU.E_24H:G16,BRD-K49328571
13859,LJP007_MCF7_24H:G17,BRD-K49328571
13860,LJP007_MCF7_24H:G18,BRD-K49328571
13861,LJP006_LNCAP_24H:I01,BRD-K49328571
13862,LJP008_CD34_24H:G13,BRD-K49328571
13863,REP.A019_PC3_24H:L14,BRD-K49328571
13864,LJP006_HT29_24H:I05,BRD-K49328571
13865,LJP006_HT29_24H:I06,BRD-K49328571
13866,LJP008_ASC.C_24H:G17,BRD-K49328571
13867,LJP008_ASC.C_24H:G16,BRD-K49328571
13868,LJP007_NPC_24H:G13,BRD-K49328571
13869,LJP006_MDAMB231_24H:I01,BRD-K49328571
13870,LJP006_MDAMB231_24H:I02,BRD-K49328571
13871,LJP006_MDAMB231_24H:I03,BRD-K49328571
13872,LJP006_MDAMB231_24H:I05,BRD-K49328571
13873,LJP007_NPC_24H:G14,BRD-K49328571
13874,LJP007_NPC_24H:G15,BRD-K49328571
13875,LJP007_NPC_24H:G16,BRD-K49328571
13876,LJP008_ASC.C_24H:G15,BRD-K49328571
13877,LJP008_ASC.C_24H:G14,BRD-K49328571
13878,REP.A019_PC3_24H:L15,BRD-K49328571
13879,LJP005_MDAMB231_24H:D01,BRD-K49328571
13880,REP.A019_PC3_24H:L16,BRD-K49328571
13881,REP.A019_PC3_24H:L17,BRD-K49328571
13882,REP.A019_HA1E_24H:L14,BRD-K49328571
13883,REP.A019_HA1E_24H:L13,BRD-K49328571
13884,LJP008_CD34_24H:G14,BRD-K49328571
13885,LJP007_HUES3_24H:G18,BRD-K49328571
13886,LJP009_HT29_24H:G14,BRD-K49328571
13887,LJP009_HT29_24H:G15,BRD-K49328571
13888,LJP009_HT29_24H:G16,BRD-K49328571
13889,LJP009_HT29_24H:G17,BRD-K49328571
13890,LJP009_HT29_24H:G18,BRD-K49328571
13891,LJP008_ASC.C_24H:G18,BRD-K49328571
13892,LJP008_CD34_24H:G16,BRD-K49328571
13893,LJP008_CD34_24H:G17,BRD-K49328571
13894,LJP008_CD34_24H:G18,BRD-K49328571
13895,REP.A019_PC3_24H:L18,BRD-K49328571
13896,LJP006_MDAMB231_24H:I04,BRD-K49328571
13897,LJP006_HT29_24H:I04,BRD-K49328571
13898,LJP008_HA1E_24H:G14,BRD-K49328571
13899,LJP007_ASC_24H:G13,BRD-K49328571
13900,LJP006_MCF10A_24H:I01,BRD-K49328571
13901,LJP006_HEPG2_24H:I03,BRD-K49328571
13902,LJP006_HS578T_3H:I02,BRD-K49328571
13903,LJP006_HS578T_3H:I03,BRD-K49328571
13904,LJP006_HS578T_3H:I04,BRD-K49328571
13905,LJP005_MCF7_3H:D04,BRD-K49328571
13906,LJP006_HS578T_3H:I05,BRD-K49328571
13907,LJP006_HS578T_3H:I06,BRD-K49328571
13908,LJP006_HEPG2_24H:I04,BRD-K49328571
13909,LJP006_PC3_24H:I03,BRD-K49328571
13910,LJP006_PC3_24H:I04,BRD-K49328571
13911,LJP008_HCC515_24H:G13,BRD-K49328571
13912,LJP005_MCF7_3H:D03,BRD-K49328571
13913,LJP005_MCF7_3H:D02,BRD-K49328571
13914,LJP005_MCF7_3H:D01,BRD-K49328571
13915,LJP006_MCF10A_24H:I04,BRD-K49328571
13916,LJP006_HEPG2_24H:I05,BRD-K49328571
13917,LJP006_HEPG2_24H:I06,BRD-K49328571
13918,LJP008_A375_24H:G16,BRD-K49328571
13919,LJP008_A375_24H:G17,BRD-K49328571
13920,LJP008_A375_24H:G18,BRD-K49328571
13921,LJP005_A549_24H:D05,BRD-K49328571
13922,LJP005_A549_24H:D04,BRD-K49328571
13923,LJP005_A549_24H:D03,BRD-K49328571
13924,LJP008_NPC_24H:G18,BRD-K49328571
13925,LJP008_NPC_24H:G17,BRD-K49328571
13926,LJP006_HEPG2_24H:I02,BRD-K49328571
13927,LJP005_MCF7_3H:D05,BRD-K49328571
13928,LJP005_MCF7_3H:D06,BRD-K49328571
13929,LJP006_MCF10A_24H:I05,BRD-K49328571
13930,LJP005_SKBR3_24H:D05,BRD-K49328571
13931,LJP005_SKBR3_24H:D04,BRD-K49328571
13932,LJP005_SKBR3_24H:D03,BRD-K49328571
13933,LJP005_SKBR3_24H:D02,BRD-K49328571
13934,LJP005_SKBR3_24H:D01,BRD-K49328571
13935,LJP007_A375_24H:G15,BRD-K49328571
13936,LJP006_PC3_24H:I01,BRD-K49328571
13937,LJP006_PC3_24H:I02,BRD-K49328571
13938,LJP006_SKBR3_24H:I01,BRD-K49328571
13939,LJP006_SKBR3_24H:I02,BRD-K49328571
13940,LJP006_SKBR3_24H:I03,BRD-K49328571
13941,LJP006_SKBR3_24H:I04,BRD-K49328571
13942,LJP008_NPC_24H:G16,BRD-K49328571
13943,LJP006_SKBR3_24H:I05,BRD-K49328571
13944,LJP007_SKL_24H:G15,BRD-K49328571
13945,LJP008_A375_24H:G14,BRD-K49328571
13946,LJP008_A375_24H:G15,BRD-K49328571
13947,LJP005_A549_24H:D06,BRD-K49328571
13948,LJP006_MCF7_24H:I01,BRD-K49328571
13949,LJP006_MCF7_24H:I02,BRD-K49328571
13950,LJP006_MCF7_24H:I03,BRD-K49328571
13951,LJP006_MCF7_24H:I04,BRD-K49328571
13952,LJP006_MCF7_24H:I05,BRD-K49328571
13953,LJP006_MCF7_24H:I06,BRD-K49328571
13954,LJP006_HEPG2_24H:I01,BRD-K49328571
13955,LJP006_MCF10A_24H:I06,BRD-K49328571
13956,LJP006_SKBR3_24H:I06,BRD-K49328571
13957,LJP008_NPC_24H:G15,BRD-K49328571
13958,LJP008_NPC_24H:G14,BRD-K49328571
13959,LJP007_CD34_24H:G18,BRD-K49328571
13960,LJP006_PC3_24H:I06,BRD-K49328571
13961,LJP005_MCF10A_3H:D02,BRD-K49328571
13962,LJP005_A549_24H:D02,BRD-K49328571
13963,LJP005_A549_24H:D01,BRD-K49328571
13964,LJP006_MCF10A_24H:I03,BRD-K49328571
13965,LJP006_MCF10A_24H:I02,BRD-K49328571
13966,LJP007_SKL_24H:G17,BRD-K49328571
13967,LJP005_SKBR3_3H:D06,BRD-K49328571
13968,LJP005_SKBR3_3H:D05,BRD-K49328571
13969,LJP005_SKBR3_3H:D04,BRD-K49328571
13970,LJP005_HS578T_3H:D06,BRD-K49328571
13971,LJP005_SKBR3_3H:D03,BRD-K49328571
13972,LJP005_MCF10A_3H:D01,BRD-K49328571
13973,LJP005_SKBR3_3H:D02,BRD-K49328571
13974,LJP005_MCF10A_3H:D03,BRD-K49328571
13975,LJP005_MCF10A_3H:D04,BRD-K49328571
13976,LJP006_HS578T_3H:I01,BRD-K49328571
13977,LJP005_MCF10A_3H:D05,BRD-K49328571
13978,LJP005_MCF10A_3H:D06,BRD-K49328571
13979,LJP005_HS578T_3H:D04,BRD-K49328571
13980,LJP005_HS578T_3H:D03,BRD-K49328571
13981,LJP008_MCF7_24H:G18,BRD-K49328571
13982,LJP008_MCF7_24H:G17,BRD-K49328571
13983,LJP008_MCF7_24H:G16,BRD-K49328571
13984,LJP008_MCF7_24H:G15,BRD-K49328571
13985,LJP007_HT29_24H:G13,BRD-K49328571
13986,LJP005_HS578T_3H:D05,BRD-K49328571
13987,LJP005_SKBR3_24H:D06,BRD-K49328571
13988,LJP006_PC3_24H:I05,BRD-K49328571
13989,LJP008_HCC515_24H:G17,BRD-K49328571
13990,LJP008_NPC_24H:G13,BRD-K49328571
13991,LJP005_A375_24H:D01,BRD-K49328571
13992,LJP005_A375_24H:D02,BRD-K49328571
13993,LJP005_A375_24H:D03,BRD-K49328571
13994,LJP005_A375_24H:D04,BRD-K49328571
13995,LJP005_A375_24H:D05,BRD-K49328571
13996,LJP005_MDAMB231_24H:D03,BRD-K49328571
13997,LJP005_MDAMB231_24H:D04,BRD-K49328571
13998,LJP005_MDAMB231_24H:D05,BRD-K49328571
13999,LJP007_CD34_24H:G17,BRD-K49328571
14000,LJP005_MDAMB231_24H:D06,BRD-K49328571
14001,LJP005_HT29_24H:D06,BRD-K49328571
14002,LJP008_HCC515_24H:G18,BRD-K49328571
14003,LJP009_SKL.C_24H:G18,BRD-K49328571
14004,LJP009_SKL.C_24H:G16,BRD-K49328571
14005,LJP009_SKL.C_24H:G15,BRD-K49328571
14006,LJP005_HT29_24H:D05,BRD-K49328571
14007,LJP009_SKL.C_24H:G14,BRD-K49328571
14008,LJP009_SKL.C_24H:G13,BRD-K49328571
14009,LJP005_HT29_24H:D04,BRD-K49328571
14010,LJP005_HT29_24H:D03,BRD-K49328571
14011,LJP005_HT29_24H:D02,BRD-K49328571
14012,LJP005_HT29_24H:D01,BRD-K49328571
14013,LJP008_HCC515_24H:G14,BRD-K49328571
14014,LJP008_HCC515_24H:G15,BRD-K49328571
14015,LJP008_HCC515_24H:G16,BRD-K49328571
14016,LJP009_SKL.C_24H:G17,BRD-K49328571
14017,LJP007_A375_24H:G16,BRD-K49328571
14018,LJP007_A375_24H:G17,BRD-K49328571
14019,LJP007_A375_24H:G18,BRD-K49328571
14020,LJP009_NPC.CAS9_24H:G14,BRD-K49328571
14021,LJP007_A549_24H:G16,BRD-K49328571
14022,LJP008_PC3_24H:G16,BRD-K49328571
14023,LJP008_PC3_24H:G17,BRD-K49328571
14024,LJP008_PC3_24H:G18,BRD-K49328571
14025,LJP009_HCC515_24H:G17,BRD-K49328571
14026,LJP007_SKL_24H:G18,BRD-K49328571
14027,LJP009_HCC515_24H:G18,BRD-K49328571
14028,LJP008_SKL_24H:G18,BRD-K49328571
14029,LJP008_SKL_24H:G17,BRD-K49328571
14030,LJP008_SKL_24H:G16,BRD-K49328571
14031,LJP008_SKL_24H:G15,BRD-K49328571
14032,LJP009_NPC.CAS9_24H:G13,BRD-K49328571
14033,LJP008_SKL_24H:G14,BRD-K49328571
14034,LJP007_A549_24H:G15,BRD-K49328571
14035,LJP007_A549_24H:G14,BRD-K49328571
14036,LJP007_PC3_24H:G18,BRD-K49328571
14037,LJP007_PC3_24H:G17,BRD-K49328571
14038,LJP007_PC3_24H:G16,BRD-K49328571
14039,LJP007_PC3_24H:G15,BRD-K49328571
14040,LJP007_PC3_24H:G14,BRD-K49328571
14041,LJP007_PC3_24H:G13,BRD-K49328571
14042,LJP007_A549_24H:G13,BRD-K49328571
14043,LJP009_NPC.CAS9_24H:G15,BRD-K49328571
14044,LJP009_NPC.CAS9_24H:G16,BRD-K49328571
14045,LJP009_NPC.CAS9_24H:G17,BRD-K49328571
14046,LJP008_SKL_24H:G13,BRD-K49328571
14047,LJP007_HME1_24H:G18,BRD-K49328571
14048,LJP006_LNCAP_3H:I06,BRD-K49328571
14049,LJP008_PC3_24H:G15,BRD-K49328571
14050,LJP007_SKL_24H:G16,BRD-K49328571
14051,LJP009_HCC515_24H:G13,BRD-K49328571
14052,LJP006_A549_24H:I01,BRD-K49328571
14053,LJP006_A549_24H:I02,BRD-K49328571
14054,LJP006_A549_24H:I03,BRD-K49328571
14055,LJP006_A549_24H:I04,BRD-K49328571
14056,LJP006_A549_24H:I05,BRD-K49328571
14057,LJP006_A549_24H:I06,BRD-K49328571
14058,LJP006_HME1_24H:I02,BRD-K49328571
14059,LJP009_HCC515_24H:G15,BRD-K49328571
14060,LJP007_NPC.CAS9_24H:G18,BRD-K49328571
14061,LJP007_NPC.CAS9_24H:G17,BRD-K49328571
14062,LJP006_HME1_3H:I06,BRD-K49328571
14063,LJP007_NPC.CAS9_24H:G16,BRD-K49328571
14064,LJP007_NPC.CAS9_24H:G14,BRD-K49328571
14065,LJP006_LNCAP_3H:I01,BRD-K49328571
14066,LJP006_LNCAP_3H:I02,BRD-K49328571
14067,LJP007_NPC.CAS9_24H:G13,BRD-K49328571
14068,LJP006_LNCAP_3H:I03,BRD-K49328571
14069,LJP006_LNCAP_3H:I04,BRD-K49328571
14070,LJP006_LNCAP_3H:I05,BRD-K49328571
14071,LJP007_A549_24H:G18,BRD-K49328571
14072,LJP007_A549_24H:G17,BRD-K49328571
14073,LJP009_HCC515_24H:G16,BRD-K49328571
14074,LJP008_PC3_24H:G13,BRD-K49328571
14075,LJP008_PC3_24H:G14,BRD-K49328571
14076,LJP007_NPC.CAS9_24H:G15,BRD-K49328571
14077,LJP007_HT29_24H:G14,BRD-K49328571
14078,LJP009_NPC.CAS9_24H:G18,BRD-K49328571
14079,LJP006_SKBR3_3H:I05,BRD-K49328571
14080,LJP007_HME1_24H:G16,BRD-K49328571
14081,LJP005_MCF7_24H:D06,BRD-K49328571
14082,LJP006_HME1_3H:I05,BRD-K49328571
14083,LJP007_HME1_24H:G15,BRD-K49328571
14084,LJP007_HME1_24H:G14,BRD-K49328571
14085,LJP007_HME1_24H:G13,BRD-K49328571
14086,LJP005_MCF10A_24H:D05,BRD-K49328571
14087,LJP005_HCC515_24H:D01,BRD-K49328571
14088,LJP005_HCC515_24H:D02,BRD-K49328571
14089,LJP006_HME1_3H:I04,BRD-K49328571
14090,LJP006_HME1_3H:I03,BRD-K49328571
14091,LJP006_HME1_3H:I02,BRD-K49328571
14092,LJP005_MCF7_24H:D05,BRD-K49328571
14093,LJP006_HME1_3H:I01,BRD-K49328571
14094,LJP005_HCC515_24H:D04,BRD-K49328571
14095,LJP005_HCC515_24H:D05,BRD-K49328571
14096,LJP005_HCC515_24H:D06,BRD-K49328571
14097,LJP006_SKBR3_3H:I03,BRD-K49328571
14098,LJP006_SKBR3_3H:I02,BRD-K49328571
14099,LJP006_SKBR3_3H:I01,BRD-K49328571
14100,LJP007_NEU_24H:G18,BRD-K49328571
14101,LJP007_NEU_24H:G17,BRD-K49328571
14102,LJP007_NEU_24H:G16,BRD-K49328571
14103,LJP007_NEU_24H:G15,BRD-K49328571
14104,LJP007_NEU_24H:G14,BRD-K49328571
14105,LJP007_NEU_24H:G13,BRD-K49328571
14106,LJP005_HCC515_24H:D03,BRD-K49328571
14107,LJP006_SKBR3_3H:I06,BRD-K49328571
14108,LJP005_MCF7_24H:D04,BRD-K49328571
14109,LJP007_HME1_24H:G17,BRD-K49328571
14110,LJP006_SKBR3_3H:I04,BRD-K49328571
14111,LJP008_HME1_24H:G13,BRD-K49328571
14112,LJP008_HME1_24H:G14,BRD-K49328571
14113,LJP008_HME1_24H:G15,BRD-K49328571
14114,LJP009_HEPG2_24H:G17,BRD-K49328571
14115,LJP009_HEPG2_24H:G16,BRD-K49328571
14116,LJP009_HEPG2_24H:G15,BRD-K49328571
14117,LJP009_HEPG2_24H:G14,BRD-K49328571
14118,LJP009_HEPG2_24H:G13,BRD-K49328571
14119,LJP008_HME1_24H:G16,BRD-K49328571
14120,LJP008_HME1_24H:G17,BRD-K49328571
14121,LJP008_HME1_24H:G18,BRD-K49328571
14122,LJP005_MCF7_24H:D03,BRD-K49328571
14123,LJP005_MCF7_24H:D01,BRD-K49328571
14124,LJP009_A549_24H:G13,BRD-K49328571
14125,LJP009_A549_24H:G14,BRD-K49328571
14126,LJP009_A549_24H:G15,BRD-K49328571
14127,LJP008_NPC.TAK_24H:G18,BRD-K49328571
14128,LJP008_NPC.TAK_24H:G17,BRD-K49328571
14129,LJP009_A549_24H:G16,BRD-K49328571
14130,LJP009_A549_24H:G17,BRD-K49328571
14131,LJP009_A549_24H:G18,BRD-K49328571
14132,LJP008_NPC.TAK_24H:G16,BRD-K49328571
14133,LJP008_NPC.TAK_24H:G15,BRD-K49328571
14134,LJP008_NPC.TAK_24H:G14,BRD-K49328571
14135,LJP008_NPC.TAK_24H:G13,BRD-K49328571
14136,LJP005_MCF7_24H:D02,BRD-K49328571
14137,LJP008_MCF7_24H:G14,BRD-K49328571
14138,LJP009_HCC515_24H:G14,BRD-K49328571
14139,LJP009_NPC_24H:G13,BRD-K49328571
14140,LJP008_HEPG2_24H:G17,BRD-K49328571
14141,LJP008_MCF7_24H:G13,BRD-K49328571
14142,LJP008_HEPG2_24H:G16,BRD-K49328571
14143,LJP008_HEPG2_24H:G15,BRD-K49328571
14144,LJP009_ASC_24H:G18,BRD-K49328571
14145,LJP008_HEPG2_24H:G14,BRD-K49328571
14146,LJP007_CD34_24H:G15,BRD-K49328571
14147,LJP008_HEPG2_24H:G13,BRD-K49328571
14148,LJP007_HA1E_24H:G14,BRD-K49328571
14149,LJP007_HA1E_24H:G15,BRD-K49328571
14150,LJP006_HA1E_24H:I01,BRD-K49328571
14151,LJP006_HA1E_24H:I02,BRD-K49328571
14152,LJP006_HA1E_24H:I03,BRD-K49328571
14153,LJP009_NEU_24H:G18,BRD-K49328571
14154,LJP006_BT20_24H:I05,BRD-K49328571
14155,LJP008_NEU_24H:G13,BRD-K49328571
14156,LJP008_NEU_24H:G14,BRD-K49328571
14157,LJP007_HA1E_24H:G16,BRD-K49328571
14158,LJP008_NEU_24H:G15,BRD-K49328571
14159,LJP005_BT20_24H:D06,BRD-K49328571
14160,LJP008_NEU_24H:G16,BRD-K49328571
14161,LJP008_HEPG2_24H:G18,BRD-K49328571
14162,LJP007_HT29_24H:G18,BRD-K49328571
14163,LJP007_HA1E_24H:G13,BRD-K49328571
14164,LJP008_A375_24H:G13,BRD-K49328571
14165,LJP009_MCF7_24H:G15,BRD-K49328571
14166,LJP009_MCF7_24H:G16,BRD-K49328571
14167,LJP009_MCF7_24H:G17,BRD-K49328571
14168,LJP007_A375_24H:G13,BRD-K49328571
14169,LJP007_HT29_24H:G17,BRD-K49328571
14170,LJP005_HEPG2_24H:D01,BRD-K49328571
14171,LJP009_SKL_24H:G18,BRD-K49328571
